ID,Title,Award Category,Platform,Status,Expected Filename,File Size,File Path,URL
112,MOMENTS – VOLVO (STENDAHLS GOTHENBURG),Grand Prix,YOUTUBE,Not Downloaded,ad_112.mp4,-,-,https://www.youtube.com/watch?v=cQX-QXxwGvA
113,NO MORE HIPPOCRITES – WISP (WISP SAN FRANCISCO),Grand Prix,VIMEO,Not Downloaded,ad_113.mp4,-,-,https://vimeo.com/1093833225
114,NOTES ON NOTES – CAPITAL BANK (ADPRO & IMPACT BBDO DUBAI),Grand Prix,VIMEO,Not Downloaded,ad_114.mp4,-,-,https://vimeo.com/1093833076
115,PIXVERTISING – BURGER KING (ALMAPBBDO SÃO PAULO),Grand Prix,VIMEO,Not Downloaded,ad_115.mp4,-,-,https://vimeo.com/1081470031
116,PROJECT: MEMORY CARD – PLAYSTATION (SIX INC/HAKUHODO TOKYO),Grand Prix,VIMEO,Not Downloaded,ad_116.mp4,-,-,https://vimeo.com/1094223404/c800bd6483
117,PUBLIC MONEY ATM – MASTERCARD (MCCANN POLAND),Grand Prix,VIMEO,Not Downloaded,ad_117.mp4,-,-,https://vimeo.com/1083554049
118,PUB SUCCESSION – HEINEKEN (LEPUB MILAN),Grand Prix,VIMEO,Not Downloaded,ad_118.mp4,-,-,https://vimeo.com/1082873947
119,RECIPE FOR CHANGE – ARLA (FP7 MCCANN DUBAI),Grand Prix,VIMEO,Not Downloaded,ad_119.mp4,-,-,https://vimeo.com/1078926878
120,REFURB – PHILIPS (LEPUB AMSTERDAM),Grand Prix,YOUTUBE,Not Downloaded,ad_120.mp4,-,-,https://www.youtube.com/watch?v=sJXFLk5wvcQ
121,REPORT THIS AD – VERIS (PARADAIS DDB GUAYAQUIL),Grand Prix,YOUTUBE,Not Downloaded,ad_121.mp4,-,-,https://www.youtube.com/watch?v=hyWYqBMUTk8
123,RUNNING IN FEAR – ALMA PRETA (LEW’LARA\TBWA SÃO PAULO),Grand Prix,YOUTUBE,Not Downloaded,ad_123.mp4,-,-,https://www.youtube.com/watch?v=mgBubkLmF-g
124,SAFER PHONE – ORANGE (PUBLICIS CONSEIL PARIS),Grand Prix,YOUTUBE,Not Downloaded,ad_124.mp4,-,-,https://www.youtube.com/watch?v=AbLLBcDM064
125,SEVERANCE S2 – APPLE (IN-HOUSE),Grand Prix,YOUTUBE,Not Downloaded,ad_125.mp4,-,-,https://www.youtube.com/watch?v=TUEfoa3nmJk
126,SNITCH – AXION (GUT BUENOS AIRES),Grand Prix,VIMEO,Not Downloaded,ad_126.mp4,-,-,https://vimeo.com/1084058452
127,SO MANY DICKS – E.L.F. BEAUTY (E.L.F. COSMETICS NEW YORK),Grand Prix,YOUTUBE,Not Downloaded,ad_127.mp4,-,-,https://www.youtube.com/watch?v=-koo15C3nYI
128,SPEED COUPONS – MERCADO LIVRE (GUT SÃO PAULO),Grand Prix,VIMEO,Not Downloaded,ad_128.mp4,-,-,https://vimeo.com/1093414833
129,STREETNAV – STREETCO (HAVAS PARIS),Grand Prix,VIMEO,Not Downloaded,ad_129.mp4,-,-,https://vimeo.com/1093372618
130,SUNSHINE – NIKE (TRAFIK SANTA MONICA),Grand Prix,YOUTUBE,Not Downloaded,ad_130.mp4,-,-,https://www.youtube.com/watch?v=qvFnf2EEd20
131,TAKEOFF TAKEOVER – CATHAY GROUP (LEO MUMBAI),Grand Prix,YOUTUBE,Not Downloaded,ad_131.mp4,-,-,https://www.youtube.com/watch?v=vPK3k8dYrSk
132,THANKS FOR COKE-CREATING – COCA COLA (VML NEW YORK),Grand Prix,YOUTUBE,Not Downloaded,ad_132.mp4,-,-,https://www.youtube.com/watch?v=yOy9wkTqOCc
133,THE 100% HOME COMPOSTABLE STICKER – ZESPRI (GREY SÃO PAULO),Grand Prix,VIMEO,Not Downloaded,ad_133.mp4,-,-,https://vimeo.com/1094224721/8c1468ef06
134,THE DEATH OF DUO – DUOLINGO (IN-HOUSE),Grand Prix,VIMEO,Not Downloaded,ad_134.mp4,-,-,https://vimeo.com/1094581252/8afcb39440
135,THE DESK BREAK CLAUSE – ASICS (GOLIN LONDON),Grand Prix,VIMEO,Not Downloaded,ad_135.mp4,-,-,https://vimeo.com/1086029094
136,THE ORDINARY LIFE HEARING TEST – THE FOUNDATION FOR THE DEAF (CJ WORX BANGKOK),Grand Prix,YOUTUBE,Not Downloaded,ad_136.mp4,-,-,https://www.youtube.com/watch?v=-FHyIakCLE4
137,THE PRINCESS AND THE CROWN – SUNSILK (SOKO SÃO PAULO),Grand Prix,VIMEO,Not Downloaded,ad_137.mp4,-,-,https://vimeo.com/949900539
138,THE RAREST STARS SHINE BRIGHTEST – MONTEFIORE EINSTEIN (ALTO NEW YORK),Grand Prix,VIMEO,Not Downloaded,ad_138.mp4,-,-,https://vimeo.com/1056957344
139,THE SHADED ROUTE – HUNGERSTATION (VML RIYADH),Grand Prix,YOUTUBE,Not Downloaded,ad_139.mp4,-,-,https://www.youtube.com/watch?v=5cGxg-wRzsE
140,THE SHOOTING – LA UNIÓN NEWSPAPER (GREY MEXICO),Grand Prix,YOUTUBE,Not Downloaded,ad_140.mp4,-,-,https://www.youtube.com/watch?v=-saAXmItj_U
141,THE SOCIAL FEED – HUNGERSTATION (VML DUBAI),Grand Prix,VIMEO,Not Downloaded,ad_141.mp4,-,-,https://vimeo.com/1075735593
142,TIME TO LIVE – AUSTRALIAN CANCER RESEARCH FOUNDATION (THE MINISTRY FOR COMMUNICATION & THE ARTS COOGEE),Grand Prix,VIMEO,Not Downloaded,ad_142.mp4,-,-,https://vimeo.com/1015552171
143,TOO YUMM TO CHEER! – TOO YUMM! (FCB KINNECT MUMBAI),Grand Prix,VIMEO,Not Downloaded,ad_143.mp4,-,-,https://vimeo.com/1092206809
144,UNWRAP IT – CORNETTO (LOLA MULLENLOWE MADRID),Grand Prix,VIMEO,Not Downloaded,ad_144.mp4,-,-,https://vimeo.com/1083762169
145,WARREN – APPLE (APPLE CUPERTINO),Grand Prix,YOUTUBE,Not Downloaded,ad_145.mp4,-,-,https://www.youtube.com/watch?v=3m0MoYKwVTM
146,18 MONTHS – SECOND NURTURE (KLICK HEALTH TORONTO),Grand Prix,VIMEO,Not Downloaded,ad_146.mp4,-,-,https://vimeo.com/1092249009
147,250 REASONS NOT TO BUY THE MERCEDES-AMG PURESPEED – MERCEDES BENZ (TEAM X BERLIN),Grand Prix,VIMEO,Not Downloaded,ad_147.mp4,-,-,https://vimeo.com/1094331871
148,AIRBNB ICONS – AIRBNB (WEBER SHANDWICK NEW YORK),Grand Prix,VIMEO,Not Downloaded,ad_148.mp4,-,-,https://vimeo.com/1094578684/823254222b
149,AM I A BAD PERSON – NIKE (WIEDEN+KENNEDY PORTLAND),Grand Prix,YOUTUBE,Not Downloaded,ad_149.mp4,-,-,https://www.youtube.com/watch?v=pwLergHG81c
150,ANTENAGUILA – AGUILA (DAVID BUENOS AIRES),Grand Prix,YOUTUBE,Not Downloaded,ad_150.mp4,-,-,https://www.youtube.com/watch?v=ydC7JlDo0z8
151,A STONE ONLY ROLLS DOWNHILL – OK GO (PARK PICTURES NEW YORK),Grand Prix,YOUTUBE,Not Downloaded,ad_151.mp4,-,-,https://www.youtube.com/watch?v=MOEULOSVNK4
152,BACHELOR – TV SHOW (STARLIGHTMEDIA KYIV),Grand Prix,YOUTUBE,Not Downloaded,ad_152.mp4,-,-,https://www.youtube.com/watch?v=fDp5aDsp5QM
153,BACKING THE BARS – HEINEKEN (LEPUB MILAN),Grand Prix,YOUTUBE,Not Downloaded,ad_153.mp4,-,-,https://www.youtube.com/watch?v=r2mR8LV53PE
154,BAD LUCK REVERSER – REFISAL (VML NEW YORK),Grand Prix,YOUTUBE,Not Downloaded,ad_154.mp4,-,-,https://www.youtube.com/watch?v=4OaN00EWwWg
155,BAIT BOARDS – MERCADO ADS (GUT BUENOS AIRES),Grand Prix,YOUTUBE,Not Downloaded,ad_155.mp4,-,-,https://www.youtube.com/watch?v=hLdCk8nEFcg
156,BASSI VS MEN’S FACEWASH – GARNIER L’OREAL (BBH MUMBAI),Grand Prix,VIMEO,Not Downloaded,ad_156.mp4,-,-,https://vimeo.com/1084518468
157,BAZ BOX – SPECIAL K (MSL NEW YORK),Grand Prix,VIMEO,Not Downloaded,ad_157.mp4,-,-,https://vimeo.com/1038385052
158,BODY SWAP – NETFLIX (AKQA AUCKLAND),Grand Prix,VIMEO,Not Downloaded,ad_158.mp4,-,-,https://vimeo.com/1088570858
159,BOXED ADS – MERCADOLIBRE (GUT BUENOS AIRES),Grand Prix,YOUTUBE,Not Downloaded,ad_159.mp4,-,-,https://www.youtube.com/watch?v=2t2ysywk3do
